ID,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
568,Spain,10/17/14,1,NA,0
569,United States of America,10/17/14,3,NA,1
570,Guinea,10/15/14,1184,98,653
571,Liberia,10/15/14,950,1376,NA
572,Sierra Leone,10/15/14,2849,366,926
573,Nigeria,10/15/14,19,0,7
574,Senegal,10/15/14,1,0,0
575,Spain,10/15/14,1,NA,0
576,United States of America,10/15/14,2,NA,1
577,Guinea,10/10/14,1097,73,598
578,Liberia,10/10/14,943,1259,1072
579,Sierra Leone,10/10/14,2593,320,753
580,Nigeria,10/10/14,19,0,7
581,Senegal,10/10/14,1,0,0
582,Spain,10/10/14,1,NA,0
583,United States of America,10/10/14,1,NA,0
584,Guinea,10/8/14,1044,74,587
585,Liberia,10/8/14,941,1188,1018
586,Sierra Leone,10/8/14,2455,297,725
587,Nigeria,10/8/14,19,0,7
588,Senegal,10/8/14,1,0,0
589,United States of America,10/8/14,1,NA,0
590,Guinea,10/3/14,977,45,562
591,Liberia,10/3/14,931,1190,934
592,Sierra Leone,10/3/14,2179,221,575
593,Nigeria,10/3/14,19,0,7
594,Senegal,10/3/14,1,0,0
595,United States of America,10/3/14,1,NA,0
596,Guinea,10/1/14,950,37,535
597,Liberia,10/1/14,927,1113,890
598,Sierra Leone,10/1/14,2076,191,574
599,Nigeria,10/1/14,19,0,7
600,Senegal,10/1/14,1,0,0
601,Guinea,9/26/14,876,36,481
602,Liberia,9/26/14,914,1005,792
603,Sierra Leone,9/26/14,1816,168,557
604,Nigeria,9/26/14,19,0,7
605,Senegal,9/26/14,1,0,0
606,Guinea,9/24/14,832,28,468
607,Liberia,9/24/14,890,921,671
608,Sierra Leone,9/24/14,1745,158,552
609,Nigeria,9/24/14,19,0,7
610,Senegal,9/24/14,1,0,0
611,Guinea,9/22/14,818,28,465
612,Liberia,9/22/14,863,817,670
613,Sierra Leone,9/22/14,1640,136,545
614,Nigeria,9/22/14,19,0,7
615,Senegal,9/22/14,1,0,0
616,Guinea,9/18/14,750,30,435
617,Liberia,9/18/14,812,675,631
618,Sierra Leone,9/18/14,1513,123,517
619,Nigeria,9/18/14,19,1,7
620,Senegal,9/18/14,1,0,0
621,Guinea,9/16/14,743,31,429
622,Liberia,9/16/14,790,539,563
623,Sierra Leone,9/16/14,1464,119,514
624,Nigeria,9/16/14,19,1,7
625,Senegal,9/16/14,1,0,0
626,Guinea,9/12/14,678,32,403
627,Liberia,9/12/14,654,453,498
628,Sierra Leone,9/12/14,1287,100,478
629,Nigeria,9/12/14,19,1,7
630,Senegal,9/12/14,1,2,0
631,Guinea,9/8/14,664,47,400
632,Liberia,9/8/14,634,443,508
633,Sierra Leone,9/8/14,1234,90,461
634,Nigeria,9/8/14,19,1,7
635,Senegal,9/8/14,1,2,0
636,Guinea,9/5/14,604,56,362
637,Liberia,9/5/14,614,369,431
638,Sierra Leone,9/5/14,1146,78,443
639,Nigeria,9/5/14,18,3,7
640,Senegal,9/5/14,1,NA,0
641,Guinea,8/29/14,482,25,287
642,Liberia,8/29/14,322,382,225
643,Sierra Leone,8/29/14,935,54,380
644,Nigeria,8/29/14,15,3,6
645,Sierra Leone,3/11/15,8428,2904,3263
646,Guinea,3/11/15,2871,22,1778
647,Liberia,3/11/15,3150,4314,NA
648,United Kingdom,3/11/15,1,0,NA
649,Mali,3/11/15,7,0,NA
650,Nigeria,3/11/15,19,0,7
651,Senegal,3/11/15,1,0,0
652,Spain,3/11/15,1,0,0
653,United States of America,3/11/15,4,0,1
654,Guinea,3/12/15,2901,34,1792
655,Liberia,3/12/15,3150,4314,NA
656,Sierra Leone,3/12/15,8463,2927,3289
657,United Kingdom,3/12/15,1,0,NA
658,Mali,3/12/15,7,0,NA
659,Nigeria,3/12/15,19,0,7
660,Senegal,3/12/15,1,0,0
661,Spain,3/12/15,1,0,0
662,United States of America,3/12/15,4,0,1
663,Guinea,3/13/15,2911,25,1797
664,Liberia,3/13/15,3150,4453,NA
665,Sierra Leone,3/13/15,8469,2940,3297
666,United Kingdom,3/13/15,1,0,NA
667,Mali,3/13/15,7,0,NA
668,Nigeria,3/13/15,19,0,7
669,Senegal,3/13/15,1,0,0
